Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA;FAUCHE' GIOVANNI BATTISTA;15,00;7192.0;8,00;153,00;0;4 STELLE;una hotel scandinavia;1,00;1;292,00;0;Hotel
VIA;FELTRE;19,00;2652.0;3,00;38,00;38;4 STELLE;Non Specificato;1,00;1;70,00;70;Hotel
VIA;FERRUCCI FRANCESCO;10,00;7150.0;8,00;71,00;"11;12;12;12;12;8;8;7";3 STELLE;hotel scala nord;8,00;"R;1;2;3;4;5;6;7";95,00;"16;17;17;17;17;10;10;10";Hotel
VIA;FILZI FABIO;3,00;1190.0;2,00;67,00;"5;29;10;10;10;4";4 STELLE;hotel marconi;6,00;"T;1;2;3;4;5";98,00;"6;42;15;15;15;4";Hotel
VIA;FILZI FABIO;43,00;1190.0;2,00;71,00;"7;13;13;13;13;13;11";3 STELLE;nuovo monopole;7,00;"1;2;3;4;5;6;7";125,00;"11;17;17;17;17;17;16";Hotel
VIA;FILZI FABIO;25,00;1190.0;2,00;144,00;"4;9;9;9;9;9;9;9;9;9";4 STELLE;una hotel century;17,00;"1;2;3;4;5;6;7;8;9;0";288,00;"10;23;23;23;23;23;23;23;23;23";Hotel
VIA;FINOCCHIARO APRILE;11,00;2120.0;2,00;49,00;"13;13;13";3 STELLE;albergo sempione;3,00;"1;2;3";101,00;"19;19;19";Hotel
VIA;FINOCCHIARO APRILE;2,00;2120.0;2,00;439,00;0;3 STELLE;hotel ibis milano centro;1,00;1;636,00;0;Hotel
VIA;FLUMENDOSA;35,00;2522.0;2,00;43,00;"7;9";3 STELLE;hotel agape;5,00;"T;1;2;3;4";75,00;"13;16";Hotel
VIA;FRA' GALGARIO;4,00;6607.0;7,00;10,00;10;1 STELLA;hotel emmy;1,00;1;20,00;20;Hotel
VIA;FRA' GALGARIO;4,00;6607.0;7,00;12,00;0;1 STELLA;hotel gambara;1,00;1;24,00;0;Hotel
VIA;FRASSINETTI ROMEO;2,00;6563.0;7,00;25,00;0;4 STELLE;residence osoppo;1,00;1;77,00;0;Residence
VIA;FUMAGALLI ANGELO CARLO;4,00;5149.0;6,00;103,00;"24;16;15";4 STELLE;art hotel navigli;5,00;"1;2;3;4;5";205,00;"48;31;30";Hotel
VIA;GAFFURIO FRANCHINO;1,00;2138.0;3,00;19,00;19;1 STELLA;calipso;1,00;1;32,00;32;Hotel
VIA;GAGGIA PIETRO;3,00;4187.0;4,00;259,00;259;4 STELLE;starhotels business palace;1,00;1;468,00;468;Hotel
VIA;GALILEI GALILEO;2,00;1102.0;2,00;103,00;"18;18;18;18;18;27;17";4 STELLE;hotel windsor;7,00;"1;2;3;4;5;8;7";196,00;"27;27;27;27;27;18;27";Hotel
VIA;GALLARATE;2,00;7420.0;8,00;17,00;0;2 STELLE;hotel bel sit;1,00;1;25,00;0;Hotel
VIA;GALLINA GIACINTO;12,00;3105.0;3,00;54,00;54;4 STELLE;zefiro;5,00;"1;2;3;4;5";92,00;92;Hotel
VIA;GALLI RICCARDO;8,00;6405.0;8,00;27,00;"7;;6;";3 STELLE;HOTEL LIDO;4,00;"R;1;M;2";36,00;"10;;6;";Hotel
VIA;GALVANI LUIGI;12,00;1179.0;2,00;320,00;"46;67;68;47;51;23;20;10";4 STELLE;hilton milan;8,00;"2;3;4;5;6;7;8;9";469,00;"61;88;87;63;66;44;35;17";Hotel
VIA;GASPAROTTO LEOPOLDO;8,00;1205.0;2,00;97,00;"25;28;9;10;0;26";4 STELLE;hotel madison;6,00;"2;1;R;4;;3";150,00;"34;38;25;20;0;33";Hotel
VIA;GESU';10,00;227.0;1,00;118,00;"18;35;34;11";5 STELLE;four season hotel milan;4,00;"T;1;2;3";240,00;"36;70;68;22";Hotel
VIA;GHIBERTI LORENZO;1,00;6542.0;7,00;16,00;16;3 STELLE;residence portello;1,00;1;32,00;32;Residence
VIA;GIAMBELLINO;9,00;5136.0;6,00;9,00;9;2 STELLE;residence giambellino di laura fiamberti;1,00;1;18,00;18;Residence
VIA;GIOIA MELCHIORRE;6,00;1108.0;9,00;99,00;0;4 STELLE;grand hotel verdi;1,00;1;198,00;0;Hotel
VIA;GIOIA MELCHIORRE;73,00;1108.0;2,00;109,00;0;4 STELLE;crowne plaza milan city;1,00;1;218,00;0;Hotel
VIA;GIULINI GIORGIO;6,00;613.0;1,00;10,00;0;4 STELLE;camperio house hotel  E  residence;1,00;1;20,00;0;Residence
VIA;GIUSTI GIUSEPPE;6,00;7127.0;1,00;72,00;"6;20;20;22;22;18;18;6";3 STELLE;giusti 6;7,00;"R;1;2;3;4;5;6;7";169,00;"13;48;48;54;54;48;48;6";Residence
VIA;GOLDONI CARLO;31,00;3183.0;6,00;18,00;0;4 STELLE;hotel town house 31;1,00;1;32,00;0;Hotel
VIA;GOLDONI CARLO;31,00;3183.0;6,00;18,00;"3;6;6;3";1 STELLA;jolie;4,00;"T;1;2;3";28,00;"4;9;9;6";Hotel
VIA;GOLDONI CARLO;84,00;3183.0;6,00;14,00;0;3 STELLE;royal;1,00;1;25,00;0;Hotel
VIA;GOLDONI CARLO;84,00;3183.0;3,00;10,00;10;2 STELLE;hotel marlene;1,00;1;17,00;17;Hotel
